FUNCAO,STATUS,6,7,8,9,10,11,12,13,14,15,16,17
JSONB_INSERT,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_OBJECT,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_OBJECT_AGG,NOK,N,N,N,N,S,S,S,S,S,S,S,S
JSONB_OBJECT_AGG_STRICT,NOK,N,N,N,N,N,N,N,N,N,N,S,S
JSONB_OBJECT_AGG_UNIQUE,NOK,N,N,N,N,N,N,N,N,N,N,S,S
JSONB_OBJECT_AGG_UNIQUE_STRICT,NOK,N,N,N,N,N,N,N,N,N,N,S,S
JSONB_OBJECT_KEYS,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_PATH_EXISTS,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_PATH_EXISTS_TZ,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_PATH_MATCH,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_PATH_MATCH_TZ,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_PATH_QUERY,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_PATH_QUERY_ARRAY,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_PATH_QUERY_ARRAY_TZ,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_PATH_QUERY_FIRST,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_PATH_QUERY_FIRST_TZ,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_PATH_QUERY_TZ,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_POPULATE_RECORD,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_POPULATE_RECORD_VALID,NOK,N,N,N,N,N,N,N,N,N,N,N,S
JSONB_POPULATE_RECORDSET,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_PRETTY,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_SET,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_SET_LAX,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_STRIP_NULLS,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_TO_RECORD,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_TO_RECORDSET,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_TO_TSVECTOR,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JSONB_TYPEOF,NOK,N,N,N,N,N,N,N,S,S,S,S,S
JUSTIFY_DAYS,NOK,N,N,N,S,S,S,S,S,S,S,S,S
JUSTIFY_HOURS,NOK,N,N,N,S,S,S,S,S,S,S,S,S
JUSTIFY_INTERVAL,NOK,N,N,N,N,N,N,N,S,S,S,S,S
LAG,OK,N,N,N,S,S,S,S,S,S,S,S,S
LAST_VALUE,OK,N,N,N,S,S,S,S,S,S,S,S,S
LASTVAL,OK,N,N,N,S,S,S,S,S,S,S,S,S
LCM,NOK,N,N,N,N,N,N,N,S,S,S,S,S
LEAD,OK,N,N,N,S,S,S,S,S,S,S,S,S
LEAST,NOK,N,N,N,S,S,S,S,S,S,S,S,S
