FUNCAO,STATUS,6,7,8,9,10,11,12,13,14,15,16,17
XML_IS_WELL_FORMED_DOCUMENT,NOK,N,N,N,N,S,S,S,S,S,S,S,S
XMLAGG,NOK,N,N,N,S,S,S,S,S,S,S,S,S
XMLCOMMENT,NOK,N,N,N,S,S,S,S,S,S,S,S,S
XMLCONCAT,NOK,N,N,N,S,S,S,S,S,S,S,S,S
XMLELEMENT,NOK,N,N,N,S,S,S,S,S,S,S,S,S
XMLEXISTS,NOK,N,N,N,N,S,S,S,S,S,S,S,S
XMLFOREST,NOK,N,N,N,S,S,S,S,S,S,S,S,S
XMLPARSE,NOK,N,N,N,S,S,S,S,S,S,S,S,S
XMLPI,NOK,N,N,N,S,S,S,S,S,S,S,S,S
XMLROOT,NOK,N,N,N,S,S,S,S,S,S,S,S,S
XMLSERIALIZE,NOK,N,N,N,S,S,S,S,S,S,S,S,S
XMLTABLE,NOK,N,N,N,N,S,S,S,S,S,S,S,S
XMLTEXT,NOK,N,N,N,N,N,N,N,N,N,N,N,S
XPATH,NOK,N,N,N,S,S,S,S,S,S,S,S,S
XPATH_EXISTS,NOK,N,N,N,N,S,S,S,S,S,S,S,S
