FUNCAO,STATUS,Dialect,8,9,10,11
VARBINARY,OK,NOK,S,S,S,S
VARCHAR,OK,OK,S,S,S,S
VARCHAR_FORMAT,NOK,NOK,S,S,S,S
VARGRAPHIC,NOK,NOK,S,S,S,S
VARIANCE,NOK,NOK,S,S,S,S
VARIANCE_SAMP,NOK,NOK,S,S,S,S
WEEK,NOK,OK,S,S,S,S
WEEK_ISO,NOK,OK,S,S,S,S
XMLAGG,NOK,NOK,N,N,S,S
XMLATTRIBUTES,NOK,NOK,N,N,S,S
XMLCAST,NOK,NOK,N,N,S,S
XMLCOMMENT,NOK,NOK,N,N,S,S
XMLCONCAT,NOK,NOK,N,N,S,S
XMLDOCUMENT,NOK,NOK,N,N,S,S
XMLELEMENT,NOK,NOK,N,N,S,S
XMLFOREST,NOK,NOK,N,N,S,S
XMLGROUP,NOK,NOK,N,N,S,S
XMLNAMESPACES,NOK,NOK,N,N,S,S
XMLPARSE,NOK,NOK,N,N,S,S
XMLPI,NOK,NOK,N,N,S,S
XMLQUERY,NOK,NOK,N,N,N,S
XMLSERIALIZE,NOK,NOK,N,N,S,S
XMLTABLE,NOK,NOK,N,N,N,S
XMLTEXT,NOK,NOK,N,N,S,S
XMLVALIDATE,NOK,NOK,N,N,S,S
YEAR,OK,OK,S,S,S,S
YEARS_BETWEEN,NOK,NOK,S,S,S,S
