FUNCAO,STATUS,30,40,55,56,57,80,84
IS_IPV4_MAPPED,NOK,N,N,N,S,S,S,N
IS_IPV6,NOK,N,N,N,S,S,S,N
IS_USED_LOCK,NOK,S,S,S,S,S,S,N
IS_UUID,NOK,N,N,N,N,N,S,S
ISCLOSED,NOK,N,N,N,S,S,N,N
ISEMPTY,NOK,N,N,N,S,S,N,N
ISNULL,OK,S,S,S,S,S,S,N
ISSIMPLE,NOK,N,N,N,S,S,N,N
JSON_APPEND,NOK,N,N,N,S,S,N,N
JSON_ARRAY,NOK,N,N,N,S,S,S,S
JSON_ARRAY_APPEND,NOK,N,N,N,S,S,S,N
JSON_ARRAY_INSERT,NOK,N,N,N,S,S,S,S
JSON_ARRAYAGG,NOK,N,N,N,S,S,S,N
JSON_CONTAINS,NOK,N,N,N,S,S,S,S
JSON_CONTAINS_PATH,NOK,N,N,N,S,S,S,N
JSON_DEPTH,NOK,N,N,N,S,S,S,S
JSON_EXTRACT,OK,N,N,N,S,S,S,N
JSON_INSERT,NOK,N,N,N,S,S,S,S
JSON_KEYS,NOK,N,N,N,S,S,S,N
JSON_LENGTH,NOK,N,N,N,S,S,S,S
JSON_MERGE,NOK,N,N,N,S,S,S,N
JSON_MERGE_PATCH,NOK,N,N,N,S,S,S,S
JSON_MERGE_PRESERVE,NOK,N,N,N,S,S,S,N
JSON_OBJECT,NOK,N,N,N,S,S,S,S
JSON_OBJECTAGG,NOK,N,N,N,S,S,S,N
JSON_OVERLAPS,NOK,N,N,N,N,N,S,S
JSON_PRETTY,NOK,N,N,N,S,S,S,N
JSON_QUOTE,NOK,N,N,N,S,S,S,S
JSON_REMOVE,NOK,N,N,N,S,S,S,N
JSON_REPLACE,NOK,N,N,N,S,S,S,S
JSON_SCHEMA_VALID,NOK,N,N,N,N,N,S,N
JSON_SCHEMA_VALIDATION_REPORT,NOK,N,N,N,N,N,S,S
JSON_SEARCH,NOK,N,N,N,S,S,S,N
JSON_SET,NOK,N,N,N,S,S,S,S
JSON_STORAGE_FREE,NOK,N,N,N,N,N,S,N
JSON_STORAGE_SIZE,NOK,N,N,N,S,S,S,S
JSON_TABLE,OK,N,N,N,N,N,S,N
JSON_TYPE,NOK,N,N,N,S,S,S,S
JSON_UNQUOTE,OK,N,N,N,S,S,S,N
JSON_VALID,NOK,N,N,N,S,S,S,S
JSON_VALUE,OK,N,N,N,N,N,S,N
LAG,OK,N,N,N,N,N,S,S
LAST_DAY,NOK,S,S,S,S,S,S,N
LAST_INSERT_ID,NOK,S,S,S,S,S,S,S
LAST_VALUE,OK,N,N,N,N,N,S,N
LCASE,OK,S,S,S,S,S,S,S
LEAD,OK,N,N,N,N,N,S,N
LEAST,NOK,S,S,S,S,S,S,S
LEFT,OK,S,S,S,S,S,S,N
LENGTH,OK,S,S,S,S,S,S,S
LINEFROMTEXT,NOK,N,N,N,S,S,N,N
LINEFROMWKB,NOK,N,N,N,S,S,N,N
LINESTRING,NOK,N,N,N,S,S,S,S
LN,NOK,S,S,S,S,S,S,N
LOAD_FILE,NOK,S,S,S,S,S,S,S
LOCALTIME,NOK,S,S,S,S,S,S,N
