FUNCAO,STATUS,Dialect,7,2000,2005,2008,2012,2014,2016,2017,2019,2022
RADIANS,OK,OK,S,S,S,S,S,S,S,S,S,S
RAND,OK,OK,S,S,S,S,S,S,S,S,S,S
RANK,OK,OK,N,N,S,S,S,S,S,S,S,S
REPLACE,OK,OK,S,S,S,S,S,S,S,S,S,S
REPLICATE,OK,OK,S,S,S,S,S,S,S,S,S,S
REVERSE,OK,OK,S,S,S,S,S,S,S,S,S,S
RIGHT,OK,OK,S,S,S,S,S,S,S,S,S,S
ROUND,OK,OK,S,S,S,S,S,S,S,S,S,S
ROW_NUMBER,OK,OK,N,N,S,S,S,S,S,S,S,S
ROWCOUNT_BIG,OK,OK,S,S,S,S,S,S,S,S,S,S
RTRIM,OK,OK,S,S,S,S,S,S,S,S,S,S
SCHEMA_ID,OK,OK,S,S,S,S,S,S,S,S,S,S
SCHEMA_NAME,OK,OK,S,S,S,S,S,S,S,S,S,S
SCOPE_IDENTITY,NOK,NOK,S,S,S,S,S,S,S,S,S,S
SERVERPROPERTY,OK,OK,S,S,S,S,S,S,S,S,S,S
SESSION_CONTEXT,NOK,NOK,S,S,S,S,S,S,S,S,S,S
SESSION_ID,OK,OK,S,S,S,S,S,S,S,S,S,S
SESSION_USER,OK,OK,S,S,S,S,S,S,S,S,S,S
SIGN,OK,OK,S,S,S,S,S,S,S,S,S,S
SIN,OK,OK,S,S,S,S,S,S,S,S,S,S
SMALLDATETIMEFROMPARTS,NOK,OK,N,N,N,N,S,S,S,S,S,S
SOUNDEX,OK,OK,S,S,S,S,S,S,S,S,S,S
SPACE,OK,OK,S,S,S,S,S,S,S,S,S,S
SQRT,OK,OK,S,S,S,S,S,S,S,S,S,S
SQUARE,OK,OK,S,S,S,S,S,S,S,S,S,S
STATS_DATE,NOK,NOK,S,S,S,S,S,S,S,S,S,S
STDEV,OK,OK,S,S,S,S,S,S,S,S,S,S
STDEVP,OK,OK,S,S,S,S,S,S,S,S,S,S
STR,NOK,NOK,S,S,S,S,S,S,S,S,S,S
STRING_AGG,OK,OK,N,N,N,N,N,N,N,S,S,S
STRING_ESCAPE,NOK,NOK,N,N,N,N,N,N,S,S,S,S
STRING_SPLIT,OK,OK,N,N,N,N,N,N,S,S,S,S
STUFF,OK,OK,S,S,S,S,S,S,S,S,S,S
SUBSTRING,OK,OK,S,S,S,S,S,S,S,S,S,S
